Section,Use Case,Original Content,Target Audience,Context,AI Formula,Expected Result Type,Notes
Basic Usage,Professional Email,"hey can u send me the report by friday","Business colleagues","","=REWRITE(""Make this a professional business email"", C2)","Professional email","Simple rewriting example"
Basic Usage,Text Summarization,"The quarterly sales report shows significant growth across all regions. North America increased by 15%, Europe by 12%, and Asia-Pacific by 18%. The main drivers were new product launches and improved customer satisfaction scores.","Executives","","=REWRITE(""Summarize in one sentence for executives"", C3)","Executive summary","Condensing information"
Context Usage,Customer Response,"Your order is delayed","Upset customer","Premium customer, 3 years with company, usually satisfied","=REWRITE(""Create empathetic customer service response"", C4, E4)","Personalized response","Using context for better results"
Context Usage,Sales Email,"Thank you for your interest in our product","Potential client","Tech startup, 50 employees, budget conscious","=REWRITE(""Create compelling sales follow-up"", C5, E5)","Sales email","Context-aware personalization"
Advanced Usage,Multi-platform Content,"New product launch next week","Social media followers","Product: AI writing tool, Audience: Content creators","=REWRITE(""Create exciting Instagram post with emojis and hashtags"", C6, E6)","Social media post","Platform-specific optimization"
Advanced Usage,Technical Translation,"The API endpoint utilizes RESTful architecture with JSON payloads","Non-technical users","Internal training document","=REWRITE(""Explain in simple terms for beginners"", C7, E7)","Simple explanation","Technical simplification"
Conditional Logic,Length-based Processing,"Hi","General audience","","=IF(LEN(C8)>50, REWRITE(""Summarize this"", C8), REWRITE(""Expand with more details"", C8))","Expanded content","Dynamic processing based on length"
Conditional Logic,Audience-based Processing,"Our enterprise solution offers comprehensive functionality","Mixed audience","Audience type: Small Business","=IF(E9=""Enterprise"", REWRITE(""Use technical language"", C9), REWRITE(""Simplify for small business"", C9))","Audience-appropriate content","Dynamic processing based on audience"
Batch Processing,Email Templates,"Thank you for contacting us","Customer service","Issue: Billing question","=REWRITE(""Create professional response for "" & E10, C10)","Customer service email","Template-based generation"
Batch Processing,Product Descriptions,"Wireless headphones with noise canceling","Target market","Market: Commuters","=REWRITE(""Create compelling product description for "" & E11, C10)","Product description","Market-specific descriptions"
Quality Control,A/B Testing,"Great deals this weekend","Customers","","=REWRITE(""Make this more urgent and exciting"", C12)","Urgent version","Testing different approaches"
Quality Control,Tone Variations,"Your payment is overdue","Customers","","=REWRITE(""Make this friendly but firm"", C13)","Friendly reminder","Tone adjustment"
Performance Demo,Cache Test,"Hello world","General","","=REWRITE(""Make this professional"", C14)","Professional greeting","First run - no cache"
Performance Demo,Cache Test 2,"Hello world","General","","=REWRITE(""Make this professional"", C15)","Professional greeting","Second run - should use cache"
Error Handling,Empty Content,"","General","","=REWRITE(""Make this professional"", C16)","Error message","Demonstrates empty content error"
Error Handling,Invalid Prompt,"Hello world","General","","=REWRITE("""", C17)","Error message","Demonstrates missing prompt error"
System Status,Health Check,"","","","=getSystemStatus()","System status","Shows API configuration status"
System Status,Cache Stats,"","","","=getCacheStatistics()","Cache statistics","Shows cache performance"
System Status,Error Stats,"","","","=getErrorStatistics()","Error statistics","Shows error patterns"
Help,Function Help,"","","","=getRewriteHelp()","Help information","Shows function usage help"
